3 1 3 6 1            	# S=3 supervivientes, Z=1 zombie, I=1 item, M=mapa de lado 6 y C=2 instrucciones
2 0 1 0 1 Bart       	# Superviviente N=Bart, V=2 de vida, Ex=0 experiencia, Eq=1 items equipados y está en la coordenada (X=0, Y=1)
RubberDuck RightHand 	# Item de Bart, I=RubberDuck equipado en S=mano derecha
2 0 1 5 2 Lisa       	# Superviviente N=Lisa, V=2 de vida, Ex=0 experiencia, Eq=1 item equipados y está en la coordenada (X=5, Y=2)
BaseballBat LeftHand 	# Item de Lisa, I=BaseballBat equipado en S=mano izquierda
2 0 1 0 5 Burns         # Superviviente N=Burns, V=5 de vida, Ex=0 experiencia, Eq=0 item equipados y está en la coordenada (X=0, Y=5)
Zombicillo 2 0       	# Zombie N=Zombicillo, está en la coordenada (X=2, Y=0)
ZombiLoco 1 4       	# Zombie N=ZombiLoco, está en la coordenada (X=1, Y=4)
ZombiVaquero 4 3        # Zombie N=ZombiVaquero, está en la coordenada (X=4, Y=3)
Knife 2 2            	# Item N=Knife en el suelo en la coordenada (X=2, Y=2)
Molotov 0 3             # Item N=Molotov en el suelo en la coordenada (X=0, Y=3)
Flamethrower 4 1        # Item N=Flamethrower en el suelo en la coordenada (X=4, Y=1)
M Bart Up            	# Instrucción a ejecutar
